precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 465,000|/inmueble/622280|Casa en  Pueblo Libre, Lima|150m2|8|4|PE|Pueblo Libre, Lima|Lima Departamento||-12.079239|-77.066656
$ 570,000|/inmueble/622269|Casa en  Pando, Lima|245m2|9|6|PE|Pando, San Miguel, Lima|Lima Departamento||-12.083778|-77.074024
$ 1,029,000|/inmueble/c6e8-b2bd-4cef1673-14f08d0d0735-435a|Casa en  El Mirador 210, La Molina 15026, Perú|1,010m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento|El Mirador 210, La Molina 15026, Perú|-12.073959865726138|-76.90147839357911
$ 379,000|/inmueble/463784|Casa en  Calle Los Alpes 470, La Molina, Perú|550m2|6|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Calle Los Alpes 470, La Molina, Perú|-12.0943603|-76.8999105
$ 270|/inmueble/567915|Casa en  San Martin De Porres, Lima|390m2|10|6|PE|San Martin de Porres, Lima|Lima Departamento||-11.9485266|-77.0907673
$ 2,999,000|/inmueble/529093|Casa en  Calle La Cima 202, Santiago De Surco, Perú|2,550m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento|Calle La Cima 202, Santiago De Surco, Perú|-12.1217318|-76.9656706
$ 720,000|/inmueble/527e-bf95-35d988c3-b90f37de5f72-4760|Casa en  Santiago De Surco, Lima|300m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1297103|-77.0087804
$ 745,000|/inmueble/2229-b2ec-b43ded04-9f957e03d4cb-4db6|Casa en  Los Cedros 372, La Molina 15024, Perú|571m2|6|5|PE|Camacho, La Molina, Lima|Lima Departamento|Los Cedros 372, La Molina 15024, Perú|-12.089613984400064|-76.95494402199984
$ 1,250,000|/inmueble/39fb-bb83-85c98656-78c282a12fdb-47e9|Casa en  Rinconada Baja, Lima|860m2|5|7|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.089416296740184|-76.92982211709021
$ 330,000|/inmueble/622291|Casa en  San Borja, Lima|94m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.094514|-76.986423
$ 3,500,000|/inmueble/efb9-9070-a9201b2e-875fdb7e1dbe-453e|Casa en  Santiago De Surco, Lima|1,500m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1215171|-76.9655354
$ 520,000|/inmueble/7e39-ac46-86a28a80-fc3f53370cc0-46d1|Casa en  Casuarinas, Surco, Perú|180m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento|Casuarinas, Surco, Perú|-12.1196767|-76.9693468
$ 575,000|/inmueble/4b8-9d46-3b9f184b-b2f013f49bd9-48cd|Casa en  Jara Y Ureta, Santiago De Surco, Perú|270m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento|Jara Y Ureta, Santiago De Surco, Perú|-12.1316319|-77.0132975
$ 3,000,000|/inmueble/8dce-9fac-f3c8c4b0-c8e2cf41bf3d-4ca5|Casa en  Santiago De Surco, Lima|1,852m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento||-12.123610309656817|-76.96490506187133
$ 1,350,000|/inmueble/5888-b1c4-ec37494d-44d8ca9c94d7-4dc3|Casa en  Camacho, Lima|1,125m2|4|5|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0851916|-76.9532681
$ 850,000|/inmueble/459844|Casa en  Calle 5, La Molina, Perú|539m2|4|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Calle 5, La Molina, Perú|-12.0737956|-76.9340925
$ 1,420,000|/inmueble/5d80-96bd-6b072a83-dee56dfe27c7-4b69|Casa en  La Planicie, Lima|1,230m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 1,300,000|/inmueble/1d81-a4aa-33fd5aaf-601cb10b9525-4e97|Casa en  La Planicie, Lima|606m2|4|6|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 670,000|/inmueble/3d25-8c85-2abdab73-9feaa96b3cd0-4261|Casa en  Camacho, Lima|334m2|6|6|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0884507|-76.951835
$ 1,030,000|/inmueble/3aed-8421-e9167986-a7f2be499777-1273|Casa en  Aranjuez 105, La Molina 15026, Perú|640m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Aranjuez 105, La Molina 15026, Perú|-12.084953368789098|-76.9393265247345
$ 850,000|/inmueble/29a9-9060-b8a8e6ed-40f928f50427-4f59|Casa en  La Planicie, Lima|905m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0777299|-76.9000762
$ 710,000|/inmueble/5771-b7e3-b634dfcc-b86ac09c21aa-4892|Casa en  Rinconada Baja, Lima|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.0868018|-76.935253
$ 715,000|/inmueble/f151-aa19-961076c2-4b8106a5bba0-4888|Casa en  Murcia 120, La Molina 15026, Perú|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Murcia 120, La Molina 15026, Perú|-12.086228685996558|-76.94027703255415
$ 480,000|/inmueble/f3c2-9733-74ccc3a3-e3fcb3f74f38-4c75|Casa en  El Sol De La Molina, Lima|500m2|4|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento||-12.083343|-76.8965961
$ 590,000|/inmueble/471a-b59f-80146e46-1156c85023e7-1273|Casa en  Los Sauces 315, Lima 15024, Perú|334m2|3|4|PE|Camacho, La Molina, Lima|Lima Departamento|Los Sauces 315, Lima 15024, Perú|-12.088450805157954|-76.95183500647545
$ 260,000|/inmueble/622512|Casa en  San Martin De Porres, Lima|120m2|6|2|PE|San Martin de Porres, Lima|Lima Departamento||-12.024116|-77.051326
$ 550,000|/inmueble/622445|Casa en  Corpac, Lima|225m2|3|2|PE|Corpac, San Isidro, Lima|Lima Departamento||-12.095844|-77.029647
$ 380,000|/inmueble/622375|Casa en  Rinconada Baja, Lima|166m2|5|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.069082|-76.942757
$ 1,300,000|/inmueble/622342|Casa en  Jirón Costa Rica, Jesús María, Perú|330m2|4|4|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Jirón Costa Rica, Jesús María, Perú|-12.0851256|-77.0543356
$ 400,000|/inmueble/622338|Casa en  Rinconada Baja, Lima|192m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.070912|-76.941914
$ 465,000|/inmueble/622280|Casa en  Pueblo Libre, Lima|150m2|8|4|PE|Pueblo Libre, Lima|Lima Departamento||-12.079239|-77.066656
$ 570,000|/inmueble/622269|Casa en  Pando, Lima|245m2|9|6|PE|Pando, San Miguel, Lima|Lima Departamento||-12.083778|-77.074024
$ 1,029,000|/inmueble/c6e8-b2bd-4cef1673-14f08d0d0735-435a|Casa en  El Mirador 210, La Molina 15026, Perú|1,010m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento|El Mirador 210, La Molina 15026, Perú|-12.073959865726138|-76.90147839357911
$ 379,000|/inmueble/463784|Casa en  Calle Los Alpes 470, La Molina, Perú|550m2|6|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Calle Los Alpes 470, La Molina, Perú|-12.0943603|-76.8999105
$ 270|/inmueble/567915|Casa en  San Martin De Porres, Lima|390m2|10|6|PE|San Martin de Porres, Lima|Lima Departamento||-11.9485266|-77.0907673
$ 2,999,000|/inmueble/529093|Casa en  Calle La Cima 202, Santiago De Surco, Perú|2,550m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento|Calle La Cima 202, Santiago De Surco, Perú|-12.1217318|-76.9656706
$ 720,000|/inmueble/527e-bf95-35d988c3-b90f37de5f72-4760|Casa en  Santiago De Surco, Lima|300m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1297103|-77.0087804
$ 745,000|/inmueble/2229-b2ec-b43ded04-9f957e03d4cb-4db6|Casa en  Los Cedros 372, La Molina 15024, Perú|571m2|6|5|PE|Camacho, La Molina, Lima|Lima Departamento|Los Cedros 372, La Molina 15024, Perú|-12.089613984400064|-76.95494402199984
$ 1,250,000|/inmueble/39fb-bb83-85c98656-78c282a12fdb-47e9|Casa en  Rinconada Baja, Lima|860m2|5|7|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.089416296740184|-76.92982211709021
$ 330,000|/inmueble/622291|Casa en  San Borja, Lima|94m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.094514|-76.986423
$ 3,500,000|/inmueble/efb9-9070-a9201b2e-875fdb7e1dbe-453e|Casa en  Santiago De Surco, Lima|1,500m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1215171|-76.9655354
$ 520,000|/inmueble/7e39-ac46-86a28a80-fc3f53370cc0-46d1|Casa en  Casuarinas, Surco, Perú|180m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento|Casuarinas, Surco, Perú|-12.1196767|-76.9693468
$ 575,000|/inmueble/4b8-9d46-3b9f184b-b2f013f49bd9-48cd|Casa en  Jara Y Ureta, Santiago De Surco, Perú|270m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento|Jara Y Ureta, Santiago De Surco, Perú|-12.1316319|-77.0132975
$ 3,000,000|/inmueble/8dce-9fac-f3c8c4b0-c8e2cf41bf3d-4ca5|Casa en  Santiago De Surco, Lima|1,852m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento||-12.123610309656817|-76.96490506187133
$ 1,350,000|/inmueble/5888-b1c4-ec37494d-44d8ca9c94d7-4dc3|Casa en  Camacho, Lima|1,125m2|4|5|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0851916|-76.9532681
$ 850,000|/inmueble/459844|Casa en  Calle 5, La Molina, Perú|539m2|4|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Calle 5, La Molina, Perú|-12.0737956|-76.9340925
$ 1,420,000|/inmueble/5d80-96bd-6b072a83-dee56dfe27c7-4b69|Casa en  La Planicie, Lima|1,230m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 1,300,000|/inmueble/1d81-a4aa-33fd5aaf-601cb10b9525-4e97|Casa en  La Planicie, Lima|606m2|4|6|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 670,000|/inmueble/3d25-8c85-2abdab73-9feaa96b3cd0-4261|Casa en  Camacho, Lima|334m2|6|6|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0884507|-76.951835
$ 1,030,000|/inmueble/3aed-8421-e9167986-a7f2be499777-1273|Casa en  Aranjuez 105, La Molina 15026, Perú|640m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Aranjuez 105, La Molina 15026, Perú|-12.084953368789098|-76.9393265247345
$ 850,000|/inmueble/29a9-9060-b8a8e6ed-40f928f50427-4f59|Casa en  La Planicie, Lima|905m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0777299|-76.9000762
$ 710,000|/inmueble/5771-b7e3-b634dfcc-b86ac09c21aa-4892|Casa en  Rinconada Baja, Lima|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.0868018|-76.935253
$ 715,000|/inmueble/f151-aa19-961076c2-4b8106a5bba0-4888|Casa en  Murcia 120, La Molina 15026, Perú|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Murcia 120, La Molina 15026, Perú|-12.086228685996558|-76.94027703255415
$ 480,000|/inmueble/f3c2-9733-74ccc3a3-e3fcb3f74f38-4c75|Casa en  El Sol De La Molina, Lima|500m2|4|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento||-12.083343|-76.8965961
$ 590,000|/inmueble/471a-b59f-80146e46-1156c85023e7-1273|Casa en  Los Sauces 315, Lima 15024, Perú|334m2|3|4|PE|Camacho, La Molina, Lima|Lima Departamento|Los Sauces 315, Lima 15024, Perú|-12.088450805157954|-76.95183500647545
$ 260,000|/inmueble/622512|Casa en  San Martin De Porres, Lima|120m2|6|2|PE|San Martin de Porres, Lima|Lima Departamento||-12.024116|-77.051326
$ 550,000|/inmueble/622445|Casa en  Corpac, Lima|225m2|3|2|PE|Corpac, San Isidro, Lima|Lima Departamento||-12.095844|-77.029647
$ 380,000|/inmueble/622375|Casa en  Rinconada Baja, Lima|166m2|5|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.069082|-76.942757
$ 1,300,000|/inmueble/622342|Casa en  Jirón Costa Rica, Jesús María, Perú|330m2|4|4|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Jirón Costa Rica, Jesús María, Perú|-12.0851256|-77.0543356
$ 400,000|/inmueble/622338|Casa en  Rinconada Baja, Lima|192m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.070912|-76.941914
$ 465,000|/inmueble/622280|Casa en  Pueblo Libre, Lima|150m2|8|4|PE|Pueblo Libre, Lima|Lima Departamento||-12.079239|-77.066656
$ 570,000|/inmueble/622269|Casa en  Pando, Lima|245m2|9|6|PE|Pando, San Miguel, Lima|Lima Departamento||-12.083778|-77.074024
$ 1,029,000|/inmueble/c6e8-b2bd-4cef1673-14f08d0d0735-435a|Casa en  El Mirador 210, La Molina 15026, Perú|1,010m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento|El Mirador 210, La Molina 15026, Perú|-12.073959865726138|-76.90147839357911
$ 379,000|/inmueble/463784|Casa en  Calle Los Alpes 470, La Molina, Perú|550m2|6|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Calle Los Alpes 470, La Molina, Perú|-12.0943603|-76.8999105
$ 270|/inmueble/567915|Casa en  San Martin De Porres, Lima|390m2|10|6|PE|San Martin de Porres, Lima|Lima Departamento||-11.9485266|-77.0907673
$ 2,999,000|/inmueble/529093|Casa en  Calle La Cima 202, Santiago De Surco, Perú|2,550m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento|Calle La Cima 202, Santiago De Surco, Perú|-12.1217318|-76.9656706
$ 720,000|/inmueble/527e-bf95-35d988c3-b90f37de5f72-4760|Casa en  Santiago De Surco, Lima|300m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1297103|-77.0087804
$ 745,000|/inmueble/2229-b2ec-b43ded04-9f957e03d4cb-4db6|Casa en  Los Cedros 372, La Molina 15024, Perú|571m2|6|5|PE|Camacho, La Molina, Lima|Lima Departamento|Los Cedros 372, La Molina 15024, Perú|-12.089613984400064|-76.95494402199984
$ 1,250,000|/inmueble/39fb-bb83-85c98656-78c282a12fdb-47e9|Casa en  Rinconada Baja, Lima|860m2|5|7|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.089416296740184|-76.92982211709021
$ 330,000|/inmueble/622291|Casa en  San Borja, Lima|94m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.094514|-76.986423
$ 3,500,000|/inmueble/efb9-9070-a9201b2e-875fdb7e1dbe-453e|Casa en  Santiago De Surco, Lima|1,500m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1215171|-76.9655354
$ 520,000|/inmueble/7e39-ac46-86a28a80-fc3f53370cc0-46d1|Casa en  Casuarinas, Surco, Perú|180m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento|Casuarinas, Surco, Perú|-12.1196767|-76.9693468
$ 575,000|/inmueble/4b8-9d46-3b9f184b-b2f013f49bd9-48cd|Casa en  Jara Y Ureta, Santiago De Surco, Perú|270m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento|Jara Y Ureta, Santiago De Surco, Perú|-12.1316319|-77.0132975
$ 3,000,000|/inmueble/8dce-9fac-f3c8c4b0-c8e2cf41bf3d-4ca5|Casa en  Santiago De Surco, Lima|1,852m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento||-12.123610309656817|-76.96490506187133
$ 1,350,000|/inmueble/5888-b1c4-ec37494d-44d8ca9c94d7-4dc3|Casa en  Camacho, Lima|1,125m2|4|5|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0851916|-76.9532681
$ 850,000|/inmueble/459844|Casa en  Calle 5, La Molina, Perú|539m2|4|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Calle 5, La Molina, Perú|-12.0737956|-76.9340925
$ 1,420,000|/inmueble/5d80-96bd-6b072a83-dee56dfe27c7-4b69|Casa en  La Planicie, Lima|1,230m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 1,300,000|/inmueble/1d81-a4aa-33fd5aaf-601cb10b9525-4e97|Casa en  La Planicie, Lima|606m2|4|6|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 670,000|/inmueble/3d25-8c85-2abdab73-9feaa96b3cd0-4261|Casa en  Camacho, Lima|334m2|6|6|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0884507|-76.951835
$ 1,030,000|/inmueble/3aed-8421-e9167986-a7f2be499777-1273|Casa en  Aranjuez 105, La Molina 15026, Perú|640m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Aranjuez 105, La Molina 15026, Perú|-12.084953368789098|-76.9393265247345
$ 850,000|/inmueble/29a9-9060-b8a8e6ed-40f928f50427-4f59|Casa en  La Planicie, Lima|905m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0777299|-76.9000762
$ 710,000|/inmueble/5771-b7e3-b634dfcc-b86ac09c21aa-4892|Casa en  Rinconada Baja, Lima|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.0868018|-76.935253
$ 715,000|/inmueble/f151-aa19-961076c2-4b8106a5bba0-4888|Casa en  Murcia 120, La Molina 15026, Perú|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Murcia 120, La Molina 15026, Perú|-12.086228685996558|-76.94027703255415
$ 480,000|/inmueble/f3c2-9733-74ccc3a3-e3fcb3f74f38-4c75|Casa en  El Sol De La Molina, Lima|500m2|4|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento||-12.083343|-76.8965961
$ 590,000|/inmueble/471a-b59f-80146e46-1156c85023e7-1273|Casa en  Los Sauces 315, Lima 15024, Perú|334m2|3|4|PE|Camacho, La Molina, Lima|Lima Departamento|Los Sauces 315, Lima 15024, Perú|-12.088450805157954|-76.95183500647545
$ 260,000|/inmueble/622512|Casa en  San Martin De Porres, Lima|120m2|6|2|PE|San Martin de Porres, Lima|Lima Departamento||-12.024116|-77.051326
$ 550,000|/inmueble/622445|Casa en  Corpac, Lima|225m2|3|2|PE|Corpac, San Isidro, Lima|Lima Departamento||-12.095844|-77.029647
$ 380,000|/inmueble/622375|Casa en  Rinconada Baja, Lima|166m2|5|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.069082|-76.942757
$ 1,300,000|/inmueble/622342|Casa en  Jirón Costa Rica, Jesús María, Perú|330m2|4|4|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Jirón Costa Rica, Jesús María, Perú|-12.0851256|-77.0543356
$ 400,000|/inmueble/622338|Casa en  Rinconada Baja, Lima|192m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.070912|-76.941914
$ 465,000|/inmueble/622280|Casa en  Pueblo Libre, Lima|150m2|8|4|PE|Pueblo Libre, Lima|Lima Departamento||-12.079239|-77.066656
$ 570,000|/inmueble/622269|Casa en  Pando, Lima|245m2|9|6|PE|Pando, San Miguel, Lima|Lima Departamento||-12.083778|-77.074024
$ 1,029,000|/inmueble/c6e8-b2bd-4cef1673-14f08d0d0735-435a|Casa en  El Mirador 210, La Molina 15026, Perú|1,010m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento|El Mirador 210, La Molina 15026, Perú|-12.073959865726138|-76.90147839357911
$ 379,000|/inmueble/463784|Casa en  Calle Los Alpes 470, La Molina, Perú|550m2|6|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Calle Los Alpes 470, La Molina, Perú|-12.0943603|-76.8999105
$ 270|/inmueble/567915|Casa en  San Martin De Porres, Lima|390m2|10|6|PE|San Martin de Porres, Lima|Lima Departamento||-11.9485266|-77.0907673
$ 2,999,000|/inmueble/529093|Casa en  Calle La Cima 202, Santiago De Surco, Perú|2,550m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento|Calle La Cima 202, Santiago De Surco, Perú|-12.1217318|-76.9656706
$ 720,000|/inmueble/527e-bf95-35d988c3-b90f37de5f72-4760|Casa en  Santiago De Surco, Lima|300m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1297103|-77.0087804
$ 745,000|/inmueble/2229-b2ec-b43ded04-9f957e03d4cb-4db6|Casa en  Los Cedros 372, La Molina 15024, Perú|571m2|6|5|PE|Camacho, La Molina, Lima|Lima Departamento|Los Cedros 372, La Molina 15024, Perú|-12.089613984400064|-76.95494402199984
$ 1,250,000|/inmueble/39fb-bb83-85c98656-78c282a12fdb-47e9|Casa en  Rinconada Baja, Lima|860m2|5|7|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.089416296740184|-76.92982211709021
$ 330,000|/inmueble/622291|Casa en  San Borja, Lima|94m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.094514|-76.986423
$ 3,500,000|/inmueble/efb9-9070-a9201b2e-875fdb7e1dbe-453e|Casa en  Santiago De Surco, Lima|1,500m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1215171|-76.9655354
$ 520,000|/inmueble/7e39-ac46-86a28a80-fc3f53370cc0-46d1|Casa en  Casuarinas, Surco, Perú|180m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento|Casuarinas, Surco, Perú|-12.1196767|-76.9693468
$ 575,000|/inmueble/4b8-9d46-3b9f184b-b2f013f49bd9-48cd|Casa en  Jara Y Ureta, Santiago De Surco, Perú|270m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento|Jara Y Ureta, Santiago De Surco, Perú|-12.1316319|-77.0132975
$ 3,000,000|/inmueble/8dce-9fac-f3c8c4b0-c8e2cf41bf3d-4ca5|Casa en  Santiago De Surco, Lima|1,852m2|4|4|PE|Santiago de Surco, Lima|Lima Departamento||-12.123610309656817|-76.96490506187133
$ 1,350,000|/inmueble/5888-b1c4-ec37494d-44d8ca9c94d7-4dc3|Casa en  Camacho, Lima|1,125m2|4|5|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0851916|-76.9532681
$ 850,000|/inmueble/459844|Casa en  Calle 5, La Molina, Perú|539m2|4|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Calle 5, La Molina, Perú|-12.0737956|-76.9340925
$ 1,420,000|/inmueble/5d80-96bd-6b072a83-dee56dfe27c7-4b69|Casa en  La Planicie, Lima|1,230m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 1,300,000|/inmueble/1d81-a4aa-33fd5aaf-601cb10b9525-4e97|Casa en  La Planicie, Lima|606m2|4|6|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0756385|-76.9110056
$ 670,000|/inmueble/3d25-8c85-2abdab73-9feaa96b3cd0-4261|Casa en  Camacho, Lima|334m2|6|6|PE|Camacho, La Molina, Lima|Lima Departamento||-12.0884507|-76.951835
$ 1,030,000|/inmueble/3aed-8421-e9167986-a7f2be499777-1273|Casa en  Aranjuez 105, La Molina 15026, Perú|640m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Aranjuez 105, La Molina 15026, Perú|-12.084953368789098|-76.9393265247345
$ 850,000|/inmueble/29a9-9060-b8a8e6ed-40f928f50427-4f59|Casa en  La Planicie, Lima|905m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.0777299|-76.9000762
$ 710,000|/inmueble/5771-b7e3-b634dfcc-b86ac09c21aa-4892|Casa en  Rinconada Baja, Lima|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.0868018|-76.935253
$ 715,000|/inmueble/f151-aa19-961076c2-4b8106a5bba0-4888|Casa en  Murcia 120, La Molina 15026, Perú|450m2|3|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Murcia 120, La Molina 15026, Perú|-12.086228685996558|-76.94027703255415
$ 480,000|/inmueble/f3c2-9733-74ccc3a3-e3fcb3f74f38-4c75|Casa en  El Sol De La Molina, Lima|500m2|4|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento||-12.083343|-76.8965961
$ 590,000|/inmueble/471a-b59f-80146e46-1156c85023e7-1273|Casa en  Los Sauces 315, Lima 15024, Perú|334m2|3|4|PE|Camacho, La Molina, Lima|Lima Departamento|Los Sauces 315, Lima 15024, Perú|-12.088450805157954|-76.95183500647545
$ 260,000|/inmueble/622512|Casa en  San Martin De Porres, Lima|120m2|6|2|PE|San Martin de Porres, Lima|Lima Departamento||-12.024116|-77.051326
$ 550,000|/inmueble/622445|Casa en  Corpac, Lima|225m2|3|2|PE|Corpac, San Isidro, Lima|Lima Departamento||-12.095844|-77.029647
$ 380,000|/inmueble/622375|Casa en  Rinconada Baja, Lima|166m2|5|4|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.069082|-76.942757
$ 1,300,000|/inmueble/622342|Casa en  Jirón Costa Rica, Jesús María, Perú|330m2|4|4|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Jirón Costa Rica, Jesús María, Perú|-12.0851256|-77.0543356
$ 400,000|/inmueble/622338|Casa en  Rinconada Baja, Lima|192m2|5|5|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.070912|-76.941914
$ 465,000|/inmueble/622280|Casa en  Pueblo Libre, Lima|150m2|8|4|PE|Pueblo Libre, Lima|Lima Departamento||-12.079239|-77.066656
$ 570,000|/inmueble/622269|Casa en  Pando, Lima|245m2|9|6|PE|Pando, San Miguel, Lima|Lima Departamento||-12.083778|-77.074024
$ 1,029,000|/inmueble/c6e8-b2bd-4cef1673-14f08d0d0735-435a|Casa en  El Mirador 210, La Molina 15026, Perú|1,010m2|4|5|PE|La Planicie, La Molina, Lima|Lima Departamento|El Mirador 210, La Molina 15026, Perú|-12.073959865726138|-76.90147839357911
$ 379,000|/inmueble/463784|Casa en  Calle Los Alpes 470, La Molina, Perú|550m2|6|4|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Calle Los Alpes 470, La Molina, Perú|-12.0943603|-76.8999105
$ 270|/inmueble/567915|Casa en  San Martin De Porres, Lima|390m2|10|6|PE|San Martin de Porres, Lima|Lima Departamento||-11.9485266|-77.0907673
$ 2,999,000|/inmueble/529093|Casa en  Calle La Cima 202, Santiago De Surco, Perú|2,550m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento|Calle La Cima 202, Santiago De Surco, Perú|-12.1217318|-76.9656706
$ 720,000|/inmueble/527e-bf95-35d988c3-b90f37de5f72-4760|Casa en  Santiago De Surco, Lima|300m2|4|5|PE|Santiago de Surco, Lima|Lima Departamento||-12.1297103|-77.0087804
$ 745,000|/inmueble/2229-b2ec-b43ded04-9f957e03d4cb-4db6|Casa en  Los Cedros 372, La Molina 15024, Perú|571m2|6|5|PE|Camacho, La Molina, Lima|Lima Departamento|Los Cedros 372, La Molina 15024, Perú|-12.089613984400064|-76.95494402199984
$ 1,250,000|/inmueble/39fb-bb83-85c98656-78c282a12fdb-47e9|Casa en  Rinconada Baja, Lima|860m2|5|7|PE|Rinconada Baja, La Molina, Lima|Lima Departamento||-12.089416296740184|-76.92982211709021
$ 330,000|/inmueble/622291|Casa en  San Borja, Lima|94m2|3|3|PE|San Borja, Lima|Lima Departamento||-12.094514|-76.986423
